uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"6838d91d-bb70-46ce-b401-0dea1c113524",1715,"Network activity","ip-dst","62.82.244.22","",1,1748556061,"","","","",""
"6838d91d-b1f0-420d-bc84-0dea1c113524",1715,"Network activity","ip-dst","223.16.216.92","",1,1748556061,"","","","",""
"6838d91d-1720-40dc-8cd4-0dea1c113524",1715,"Network activity","ip-dst","103.89.90.167","",1,1748556061,"","","","",""
"6838d91d-d628-4b3d-89be-0dea1c113524",1715,"Network activity","ip-dst","185.110.132.49","",1,1748556061,"","","","",""
"6838d91d-39c8-4adf-b705-0dea1c113524",1715,"Network activity","ip-dst","116.31.116.30","",1,1748556061,"","","","",""
"6838d91d-24f4-4b7c-87bd-0dea1c113524",1715,"Network activity","ip-dst","123.207.55.225","",1,1748556061,"","","","",""
"6838d91d-04cc-4f85-9671-0dea1c113524",1715,"Network activity","ip-dst","94.156.198.51","",1,1748556061,"","","","",""
"6838d91d-a1d8-41a9-9b95-0dea1c113524",1715,"Network activity","ip-dst","202.189.2.94","",1,1748556061,"","","","",""
"6838d91d-5a60-40e6-8da2-0dea1c113524",1715,"Network activity","ip-dst","80.158.6.115","",1,1748556061,"","","","",""
"6838d91d-b694-436d-863d-0dea1c113524",1715,"Network activity","ip-dst","121.201.45.23","",1,1748556061,"","","","",""
"6838d91d-038c-4a31-b633-0dea1c113524",1715,"Network activity","ip-dst","91.197.18.66","",1,1748556061,"","","","",""
"6838d91d-90f8-474b-a27c-0dea1c113524",1715,"Network activity","ip-dst","41.33.125.7","",1,1748556061,"","","","",""
"6838d91d-3188-488a-abba-0dea1c113524",1715,"Network activity","ip-dst","117.21.191.219","",1,1748556061,"","","","",""
"6838d91d-1b24-4f3e-be15-0dea1c113524",1715,"Network activity","ip-dst","197.50.224.68","",1,1748556061,"","","","",""
"6838d91d-4940-4720-b504-0dea1c113524",1715,"Network activity","ip-dst","103.99.3.95","",1,1748556061,"","","","",""

